hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortailty,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,geometry,index_right,COUNTRY,ADMIN0,ADM1_PCODE,REG_ID,REGION,REG_REPORT,SOURCE,Pop12,Male12,Female12,hh_size,sex_ratio,Shape_Leng,Shape_Area
1,7,7,1,0,7,1,1,2,0,1,1,1,1,1,1,1,1,1,0,2.0,0.0,0,1,1,0,1,0.0,0.44444444444444453,7,3.1111111111111116,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,13,5,1,0,5,2,1,2,0,1,1,1,1,1,1,1,0,1,0,2.0,1.0,1,1,0,0,0,0.0,0.44444444444444453,5,2.2222222222222228,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,18,7,1,1,7,1,1,2,1,0,1,1,1,1,1,1,0,1,0,2.0,1.0,1,1,1,0,1,0.0,0.6111111111111112,7,4.277777777777779,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,30,6,2,0,6,1,1,2,0,1,1,1,1,1,1,1,0,1,0,3.0,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,36,11,2,1,11,4,1,2,1,1,1,1,1,1,1,1,1,1,0,3.0,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,41,4,1,0,4,0,1,2,0,1,1,1,1,1,1,0,0,1,1,0.0,0.0,0,1,0,1,0,0.0,0.5000000000000001,4,2.0000000000000004,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,47,9,1,0,9,2,1,2,0,1,1,1,1,1,1,1,1,1,0,4.0,2.0,1,1,1,0,1,0.0,0.7777777777777779,9,7.000000000000001,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,53,9,1,1,9,3,1,2,1,0,1,1,1,1,1,1,0,1,0,2.0,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,59,9,2,0,9,1,1,2,0,1,1,1,1,1,1,1,1,1,0,5.0,1.0,1,1,0,0,0,0.0,0.44444444444444453,9,4.000000000000001,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,70,10,1,4,10,1,1,2,1,1,0,1,1,1,1,1,1,1,0,5.0,0.0,1,1,0,0,0,1.0,0.38888888888888895,10,3.8888888888888893,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
1,99,2,1,0,2,0,1,2,0,1,1,1,1,1,1,0,0,1,1,1.0,0.0,0,1,0,0,0,1.0,0.5000000000000001,2,1.0000000000000002,1,Dodoma,-4.726384,35.912846,POINT (35.912846 -4.726384),2,Tanzania,Mainland,TZA01,01,Dodoma,Dodoma,Merged from TNBS district (admin 2) data by UN OCHA ROSA. National Bureau of Statistics (http://www.nbs.go.tz/) Census 2012 data downloaded in Aug 2013 -under Census and Surveys/2012/ Shapefiles. P-codes added by OCHA.,2083588.0,1014974.0,1068614.0,4.6,95.0,10.1729607683,3.4253156177
