id,district_corrected
69572,TZ2205
8776,TZ2002
34310,TZ2104
67743,TZ0906
19728,TZ1801
9944,TZ0408
19816,TZ1703
54551,TZ1704
53934,TZ1406
46144,TZ1808
49056,TZ0604
50409,TZ1005
36957,TZ2404
50495,TZ0307
53752,TZ2403
61848,TZ1501
48451,TZ2202
58155,TZ2202
34169,TZ1901
18274,TZ2205
48375,TZ2201
6091, 
58500,TZ2202
37862,TZ0303
51058,TZ1603
22308,TZ0304
55012,TZ0802
20145,TZ1801
19685,TZ0301
69124,TZ0307
46804,TZ0104
6696,TZ0601
57238,TZ0304
12402,TZ2205
41583,TZ0606
57355,TZ0206
67359,TZ1203
60048,TZ0101
16583,TZ1104
25,TZ1601
70238,TZ0304
12796,TZ2203
52019,TZ2204
19282,TZ1302
1843,TZ0206
12958,TZ1703
45111,TZ0903
13620,TZ1204
18864,TZ1104
25182,TZ2202
3228,TZ0306
19308,TZ1502
10745,TZ1203
32376, 
9417,TZ1801
68724,TZ0306
74197,TZ0304
22961,TZ0206
24593,TZ2103
31714,TZ1802
29952,TZ0403
40393,TZ0401
2127,TZ1603
8265,TZ0202
67433,TZ1306
51072,TZ1305
34255,TZ2204
22108,TZ1808
4720,TZ2202
54801,TZ1606
21990,TZ0503
17386,TZ1207
41609,TZ1207
35715,TZ2002
53970,TZ1602
62971,TZ1806
63542,TZ2202
15622,TZ0202
12903,TZ0402
52561,TZ2503
19415,TZ2203
65531,TZ0502
3675,TZ0202
34383,TZ1702
30423,TZ2007
68717,TZ1905
3688,TZ1101
30537,TZ1803
27312,TZ0601
22143,TZ0105
43237,TZ1603
62591,TZ0805
39920,TZ0601
70892,TZ2102
48593,TZ1807
26419,TZ1602
68554,TZ1606
29083,TZ1907
33379,TZ1002
43206,TZ1703
41743,TZ0404
17970,TZ1306
25693,TZ1601
39364,TZ1001
57580,TZ0305
23000,TZ0302
59902,TZ2404
60371,TZ2505
74246,TZ1101
7116,TZ1204
64063,TZ0202
59983,TZ0202
10784,TZ1804
49503,TZ2605
54248,TZ0102
24409,TZ1807
21068,TZ0506
62341,TZ2004
