DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
TZ201500000001,1,20326.12695,23809.01953,64.70007156,75.78646297,4602.693767,5.5799999999999994e-05,5.0,2694.090909,2741.0,24.48509485,7.0,0.48400654,0.569441489,0.09953518199999999,0.061670820999999994,0.010446442,1636.051491,229892.1738,27153.96564,49962.42768,793.3,700.6,134.295393
TZ201500000002,2,31193.378910000003,36538.37891,99.29160891,116.3052723,4745.79235,2.09e-05,5.0,2887.3,2998.5,21.92098093,8.0,0.44338071799999995,0.528335397,0.097411505,0.075886043,0.010944852,1632.204918,215250.3288,20903.421309999998,15300.84476,741.2,665.9,160.3387978
TZ201500000003,3,9340.069336,10940.49414,743.2591017999999,870.6168610999999,4267.9375,0.046617627,5.0,2568.0,2729.0,46.8125,7.0,0.485398426,0.572799093,0.09952926599999999,0.061202534,0.9179971929999999,1680.4375,254215.483,52323.62062,61640.64265,749.0,622.0,87.4375
TZ201500000004,4,12980.67578,15204.9209,41.318774299999994,48.39876641,4614.79235,3.85e-05,5.0,2793.8,2825.8,27.58196721,7.0,0.471062035,0.557050794,0.09411637,0.06333678200000001,0.004821538,1641.352459,233703.2439,30520.96519,33844.18964,726.9,632.6,133.6010929
TZ201500000005,5,8883.852539,10406.10547,28.27818091,33.12366248,3509.2710030000003,4.52e-05,9.0,2537.909091,2701.272727,24.0,7.0,0.5157481270000001,0.623637177,0.08432520199999999,0.07043877400000001,0.0,1748.677507,297566.7787,15406.004480000001,242717.8073,530.4545455,648.0909091,178.38482380000002
TZ201500000006,6,12641.56836,14807.707030000001,40.23936186,47.13439539,3416.7765670000003,0.0,9.0,2296.818182,2400.636364,19.24523161,7.0,0.5193268,0.62110671,0.076122567,0.067439608,0.00071236,1792.457766,290091.2524,20766.33517,224900.3877,525.3333333,629.0,148.02997280000002
TZ201500000007,7,9708.06543,11371.54883,30.90173202,36.19676414,4126.2914439999995,2.1899999999999997e-05,9.0,2692.7,2427.5,30.84491979,7.0,0.470428339,0.561627995,0.09226484,0.07371647,0.002120444,1716.008021,265502.2059,94930.70436,167198.0967,571.0,622.9,168.815508
TZ201500000008,8,15525.91309,18186.28516,49.42051629,57.88874359,4153.931694,2.84e-05,9.0,2802.111111,2696.111111,30.28415301,8.0,0.466176596,0.560741235,0.057258338,0.062024087,0.004980445,1743.748634,234146.8774,28933.311510000003,242300.6976,803.2,750.7,147.0464481
TZ201500000009,9,10880.52344,12744.90625,34.63378178,40.56829658,3875.527322,2.8499999999999998e-05,9.0,2593.1,2429.9,35.92076503,6.0,0.520255604,0.613176474,0.12794961900000001,0.088576857,0.0,1772.743169,284817.305,104230.2975,112169.6804,617.3636364,596.8181818,154.489071
TZ201500000010,10,12289.38086,14395.171880000002,39.11831423,45.82125523,3250.972678,0.00031402400000000004,9.0,2253.2,2236.6,30.15846995,7.0,0.513226277,0.607929142,0.078500816,0.074650756,0.0,1866.412568,283262.7703,44686.053530000005,202172.9512,523.9,644.3,81.99180328
TZ201500000011,11,858.380249,1005.4641109999999,68.30772984,80.01229168,3239.2,0.000567832,9.0,1886.0,2086.0,21.0,6.0,0.539830357,0.642373263,0.107014284,0.093567334,0.096228915,1798.733333,319319.9594,51775.090410000004,202471.3302,492.0,618.0,96.2
TZ201500000012,12,10390.78906,12171.25488,33.07490883,38.74230756,3329.894309,4.02e-05,9.0,1993.6666670000002,2246.666667,22.46216216,6.0,0.536532685,0.6433235970000001,0.095693767,0.07962480599999999,0.000409142,1783.547425,316564.5496,43286.60944,213270.7167,512.75,676.5,155.1138211
TZ201500000013,13,35898.125,42049.28906,114.2672808,133.84704409999998,3301.3097829999997,0.002412618,9.0,2490.4,2392.5,23.97554348,6.0,0.573524069,0.670631026,0.133393049,0.116501071,0.04242121099999999,1779.233696,341727.6754,96030.36972,156290.6609,557.7272727000001,603.7272727000001,62.33695652
TZ201500000014,14,79699.74219,93356.32813,253.6921587,297.16242180000006,3288.581967,0.004854076,9.0,2234.9,2194.6,27.03005464,6.0,0.559180173,0.658446573,0.10185594199999999,0.091621995,0.34481143399999997,1760.4016390000002,327332.4743,69507.88214,183049.7154,521.1,621.7,106.6502732
TZ201500000015,15,14003.552730000001,16403.06641,1114.367319,1305.314551,3217.666667,0.008599155,9.0,2295.0,2052.0,36.0,6.0,0.567718342,0.6640450410000001,0.101762958,0.091809347,0.5937506579999999,1756.8666670000002,334254.0832,77634.05771000001,176853.9213,525.0,650.0,5.333333333
TZ201500000016,16,2961.657959,3469.139648,235.681252,276.0653616,3174.375,0.0,9.0,2718.0,2631.0,30.125,6.0,0.564786652,0.668779445,0.115585156,0.098088905,0.0,1798.0625,360065.737,83430.80124,155353.9568,518.0,600.0,44.9375
TZ201500000017,17,12404.57715,14530.107419999998,39.48499541,46.25076839,3624.8445039999997,8.03e-05,9.0,2776.888889,2740.111111,26.36363636,6.0,0.5504575979999999,0.650386525,0.135483086,0.103171212,0.0,1774.5040210000002,318884.2929,130007.8204,115627.8479,610.8,631.4,164.4477212
TZ201500000018,18,18592.79492,21778.67969,59.18270435,69.32369053,3153.841962,0.001126095,9.0,2072.181818,2109.363636,27.39673913,6.0,0.543132478,0.65656241,0.110034159,0.087457912,0.0,1815.550409,373094.9548,70832.89757,158636.3238,492.1,511.5,101.106267
TZ201500000019,19,15211.34082,17817.8125,48.41920165,56.71585869,3501.362903,3.46e-05,9.0,2741.583333,2947.0,33.52546917,6.0,0.40114985700000005,0.518226932,0.135272409,0.090509295,0.0,1672.0537630000001,321492.7631,117404.2409,41836.69041,635.5454545,635.2727272999999,133.5645161
TZ201500000020,20,13919.791019999999,16304.953130000002,44.30807095,51.90027775,3946.089918,4.24e-05,9.0,2498.0,2543.9,36.40983607,7.0,0.48460818299999997,0.575837127,0.118251545,0.074337193,0.006199326,1685.6485010000001,246324.99800000002,76002.65381,111039.1383,639.9,595.8,207.1989101
TZ201500000021,21,849.0654906999999,994.5532227,67.56648493,79.14403078,8677.066667000001,0.0,5.0,3054.0,3032.0,27.93333333,6.0,-9999.0,-9999.0,-9999.0,-9999.0,0.012538898,1387.133333,88574.97047,31273.25007,66484.81614,959.0,1107.0,190.66666669999998
TZ201500000022,22,11069.31543,12966.04688,35.23472535,41.27220907,4297.215054,0.0,5.0,1843.1,1982.4,25.7613941,8.0,0.35801278299999995,0.442281475,0.08745416,0.087339703,0.004229518,1637.591398,134280.6909,17417.44956,23995.84555,547.3333332999999,579.8333332999999,140.9784946
TZ201500000023,23,44209.96094,51785.35938,140.7246764,164.8379185,7011.423497,5.06e-07,5.0,3234.7,3391.2,27.71584699,10.0,0.370727541,0.444553451,0.072571261,0.08621399699999999,0.008032099000000001,1556.120219,56464.99811,6989.632773,55535.58037999999,812.4545455,1205.0,144.079235
TZ201500000024,24,34755.67969,40711.08594,110.6307645,129.58741129999999,4333.972826,9.32e-05,5.0,1760.5555559999998,1957.7777780000001,36.81521739,6.0,0.389888709,0.462950221,0.073128238,0.082865775,0.0492818,1711.3179350000003,62886.13664,19162.181630000003,38733.99545,566.2,765.2,85.71195652
TZ201500000025,25,355968.5625,416963.9375,1133.083126,1327.237435,6675.185792,0.00038636599999999997,5.0,3439.0909090000005,3536.4545450000005,40.86065574,10.0,0.35361703200000005,0.415710876,0.06363761400000001,0.06972359,0.620217195,1560.20765,81238.31757999999,14210.33674,65041.1018,778.4,1072.6,57.39071038
