hv001,hv002,hv009,hv010,hv011,hv012,hv014,hv024,hv025,hv027,hv206,hv201,hv204,hv205,hv225,hv226,hv213,hv207,hv208,hv243a,hv221,hv210,hv211,hv212,hv243c,hv243d,hv209,hv244,hv245,hv246,hv247
1,1,1,0,0,1,0,1,2,1,0,14,20.0,23,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,15.0,1,0
1,7,7,1,0,7,1,1,2,0,0,14,60.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,50.0,1,0
1,13,5,1,0,5,2,1,2,0,0,14,240.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,80.0,1,0
1,18,7,1,1,7,1,1,2,1,0,32,240.0,23,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,40.0,1,1
1,24,8,0,0,8,1,1,2,0,0,14,20.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,60.0,1,0
1,30,6,2,0,6,1,1,2,0,0,14,180.0,23,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,1,0
1,36,11,2,1,11,4,1,2,1,0,42,60.0,24,0.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,120.0,1,0
1,41,4,1,0,4,0,1,2,0,0,42,60.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,20.0,0,0
1,47,9,1,0,9,2,1,2,0,0,14,420.0,23,0.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,30.0,1,0
1,53,9,1,1,9,3,1,2,1,0,14,360.0,24,1.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,1
1,59,9,2,0,9,1,1,2,0,0,14,420.0,24,0.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,50.0,1,0
1,65,6,0,0,6,0,1,2,0,0,14,20.0,24,0.0,7,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,1
1,70,10,1,4,10,1,1,2,1,1,14,10.0,24,0.0,8,11,1,0,1,0,1.0,1.0,0.0,1,0,0,1,100.0,1,0
1,76,2,1,0,2,0,1,2,0,0,14,220.0,24,1.0,7,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,0,1
1,82,4,1,0,4,0,1,2,0,0,14,30.0,23,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,1
1,88,5,0,0,5,0,1,2,0,0,14,20.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,1
1,93,3,0,0,3,0,1,2,1,0,14,40.0,23,0.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,25.0,1,0
1,99,2,1,0,2,0,1,2,0,0,32,180.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,10.0,0,0
1,105,4,1,0,4,1,1,2,0,0,14,30.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,10.0,1,0
1,111,3,1,1,3,1,1,2,1,0,14,360.0,24,1.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,1,1
1,117,7,1,0,7,2,1,2,0,0,14,60.0,23,0.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,80.0,1,0
1,122,4,0,0,4,1,1,2,0,0,14,360.0,24,1.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,1
2,7,4,0,2,4,0,1,2,1,0,32,30.0,31,,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,0,1
