id,region_corrected
69572,TZ11
8776,TZ20
34310,TZ21
67743,TZ90
19728,TZ18
9944,TZ04
19816,TZ17
54551,TZ17
53934,TZ14
46144,TZ18
49056,TZ60
50409,TZ10
36957,TZ17
50495,TZ03
53752,TZ17
61848,TZ15
48451,TZ11
58155,TZ11
34169,TZ19
18274,TZ11
48375,TZ11
6091,TZ17
58500,TZ11
37862,TZ03
51058,TZ16
22308,TZ03
55012,TZ80
20145,TZ18
19685,TZ03
69124,TZ03
46804,TZ01
6696,TZ06
57238,TZ03
12402,TZ11
41583,TZ60
57355,TZ02
67359,TZ12
60048,TZ01
16583,TZ11
25,TZ16
70238,TZ03
12796,TZ11
52019,TZ11
19282,TZ13
1843,TZ02
12958,TZ17
45111,TZ90
13620,TZ12
18864,TZ11
25182,TZ11
3228,TZ03
19308,TZ15
10745,TZ12
32376,TZ19
9417,TZ18
68724,TZ03
74197,TZ03
22961,TZ02
24593,TZ21
31714,TZ18
29952,TZ04
40393,TZ04
2127,TZ16
8265,TZ02
67433,TZ13
51072,TZ13
34255,TZ11
22108,TZ18
4720,TZ11
54801,TZ16
21990,TZ05
17386,TZ12
41609,TZ12
35715,TZ20
53970,TZ16
62971,TZ18
63542,TZ11
15622,TZ02
12903,TZ04
52561,TZ17
19415,TZ11
65531,TZ05
3675,TZ02
34383,TZ17
30423,TZ20
68717,TZ19
3688,TZ11
30537,TZ18
27312,TZ06
22143,TZ01
43237,TZ16
62591,TZ80
39920,TZ06
70892,TZ21
48593,TZ18
26419,TZ16
68554,TZ16
29083,TZ19
33379,TZ10
43206,TZ17
41743,TZ04
17970,TZ13
25693,TZ16
39364,TZ10
57580,TZ03
23000,TZ03
59902,TZ17
60371,TZ18
74246,TZ11
7116,TZ12
64063,TZ02
59983,TZ02
10784,TZ18
49503,TZ12
54248,TZ01
24409,TZ18
21068,TZ05
62341,TZ20
10837,TZ20
35458,TZ21
36038,TZ11
64447,TZ18
22897,TZ18
2915,TZ02
14016,TZ12
69525,TZ14
73061,TZ13
42031,TZ11
33235,TZ17
41839,TZ19
62002,TZ18
6106,TZ02
25915,TZ12
20673,TZ17
59475,TZ04
24012,TZ11
